card_name,set_code,known_minimum,quantity_kind,last_verified,evidence,notes
Abandoned Air Temple,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,Nonbasic land
Angelic Destiny,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Anthem of Champions,unknown,1,minimum,2026-09-01,Cat Attack deck screenshot,
"Arahbo, the First Fang",unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Banishing Light,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
"Basri, Tomorrow's Champion",unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Blossoming Sands,unknown,3,minimum,2026-09-01,Cat Attack deck screenshot,Nonbasic land
Claws Out,unknown,4,minimum,2026-09-01,Cat Attack deck screenshot,
Coeurl,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Ethereal Armor,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Felidar Cub,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Felidar Retreat,unknown,1,minimum,2026-09-01,Cat Attack deck screenshot,
Felling Blow,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Giant Growth,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Helpful Hunter,unknown,4,minimum,2026-09-01,Cat Attack deck screenshot,
"Kutzil, Malamet Exemplar",unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Leonin Surveyor,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Prideful Parent,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
Regal Caracal,unknown,1,minimum,2026-09-01,Cat Attack deck screenshot,
Unflinching Courage,unknown,1,minimum,2026-09-01,Cat Attack deck screenshot,
Wary Thespian,unknown,2,minimum,2026-09-01,Cat Attack deck screenshot,
"Zanarkand, Ancient Metropolis",unknown,1,minimum,2026-09-01,Cat Attack deck screenshot,Nonbasic land
Bakersbane Duo,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Bark-Knuckle Boxer,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Bellowing Crier,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
"Clement, the Worrywort",BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Clifftop Lookout,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Galewind Moose,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Heaped Harvest,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
High Stride,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Hivespine Wolverine,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Hunter's Talent,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Lilysplash Mentor,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Long River Lurker,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
"Lumra, Bellow of the Woods",BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,Mythic result from the Exploring packet
Pawpatch Formation,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Peerless Recycling,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Polliwallop,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Pond Prophet,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Splash Lasher,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Stickytongue Sentinel,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Sunshower Druid,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Three Tree Rootweaver,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Three Tree Scribe,BLB,1,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
Thornwood Falls,unknown,2,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,Nonbasic land
Treeguard Duo,BLB,2,minimum,2026-09-01,Completed Frogs plus Exploring Jump In run,
